"origin_iso3","dest_iso3","day2","flights_count","origin_country","dest_country"
"AUS","AUS",2020-01-01,701,"Australia","Australia"
"CAN","CAN",2020-01-01,317,"Canada","Canada"
"RUS","RUS",2020-01-01,46,"Russia","Russia"
"USA","USA",2020-01-01,11160,"United States","United States"
"JPN","JPN",2020-01-01,142,"Japan","Japan"
"ARE","ARE",2020-01-01,26,"United Arab Emirates","United Arab Emirates"
"MYS","MYS",2020-01-01,132,"Malaysia","Malaysia"
"FRA","FRA",2020-01-01,138,"France","France"
"NLD","NLD",2020-01-01,5,"Netherlands","Netherlands"
"IND","IND",2020-01-01,602,"India","India"
"GBR","GBR",2020-01-01,119,"United Kingdom","United Kingdom"
"DEU","DEU",2020-01-01,227,"Germany","Germany"
"PRT","PRT",2020-01-01,23,"Portugal","Portugal"
"ESP","ESP",2020-01-01,42,"Spain","Spain"
"ITA","ITA",2020-01-01,100,"Italy","Italy"
"FIN","FIN",2020-01-01,31,"Finland","Finland"
"ARG","ARG",2020-01-01,1,"Argentina","Argentina"
"CHN","CHN",2020-01-01,28,"China","China"
"KOR","KOR",2020-01-01,24,"South Korea","South Korea"
"NZL","NZL",2020-01-01,46,"New Zealand","New Zealand"
"BRA","BRA",2020-01-01,149,"Brazil","Brazil"
"TWN","TWN",2020-01-01,21,"Taiwan","Taiwan"
"SAU","SAU",2020-01-01,19,"Saudi Arabia","Saudi Arabia"
"IDN","IDN",2020-01-01,2,"Indonesia","Indonesia"
"CHE","CHE",2020-01-01,21,"Switzerland","Switzerland"
"SGP","SGP",2020-01-01,5,"Singapore","Singapore"
"THA","THA",2020-01-01,6,"Thailand","Thailand"
"HKG","HKG",2020-01-01,10,"Hong Kong SAR China","Hong Kong SAR China"
"AUS","AUS",2020-01-02,705,"Australia","Australia"
"LKA","LKA",2020-01-01,1,"Sri Lanka","Sri Lanka"
"PHL","PHL",2020-01-01,1,"Philippines","Philippines"
"USA","USA",2020-01-02,13112,"United States","United States"
"ZAF","ZAF",2020-01-01,15,"South Africa","South Africa"
"GRC","GRC",2020-01-01,9,"Greece","Greece"
"POL","POL",2020-01-01,5,"Poland","Poland"
"DNK","DNK",2020-01-01,7,"Denmark","Denmark"
"KAZ","KAZ",2020-01-01,2,"Kazakhstan","Kazakhstan"
"ARE","ARE",2020-01-02,23,"United Arab Emirates","United Arab Emirates"
"TUR","TUR",2020-01-01,4,"Turkey","Turkey"
"NOR","NOR",2020-01-01,62,"Norway","Norway"
"MYS","MYS",2020-01-02,128,"Malaysia","Malaysia"
"DEU","DEU",2020-01-02,416,"Germany","Germany"
"NLD","NLD",2020-01-02,5,"Netherlands","Netherlands"
"SWE","SWE",2020-01-01,42,"Sweden","Sweden"
"PHL","PHL",2020-01-02,3,"Philippines","Philippines"
"NZL","NZL",2020-01-02,58,"New Zealand","New Zealand"
"COL","COL",2020-01-01,1,"Colombia","Colombia"
"GBR","GBR",2020-01-02,136,"United Kingdom","United Kingdom"
"CHE","CHE",2020-01-02,22,"Switzerland","Switzerland"
"ESP","ESP",2020-01-02,45,"Spain","Spain"
"FRA","FRA",2020-01-02,165,"France","France"
"CAN","CAN",2020-01-02,327,"Canada","Canada"
"ITA","ITA",2020-01-02,114,"Italy","Italy"
"POL","POL",2020-01-02,10,"Poland","Poland"
"RUS","RUS",2020-01-02,83,"Russia","Russia"
"SGP","SGP",2020-01-02,10,"Singapore","Singapore"
"BRA","BRA",2020-01-02,172,"Brazil","Brazil"
"DNK","DNK",2020-01-02,25,"Denmark","Denmark"
"LBN","LBN",2020-01-01,1,"Lebanon","Lebanon"
"AUT","AUT",2020-01-01,2,"Austria","Austria"
"IND","IND",2020-01-02,577,"India","India"
"PRT","PRT",2020-01-02,21,"Portugal","Portugal"
"LVA","LVA",2020-01-01,1,"Latvia","Latvia"
"CHN","CHN",2020-01-02,29,"China","China"
"JPN","JPN",2020-01-02,195,"Japan","Japan"
