status,format,catno,thumb,resource_url,title,id,year,artist
Accepted,"Cass, Comp",62,,https://api.discogs.com/releases/2453375,"Azerbaycan Halk Müziği",2453375,0,Various
Accepted,"CD, Album",none,,https://api.discogs.com/releases/5100650,"Kurtuluş Ve Cephe Türküleri",5100650,0,Various
Accepted,Cass,298,,https://api.discogs.com/releases/11866167,"Arşiv Serisi 2",12000000,0,"Necdet Yaşar"
Accepted,"Cass, Comp",99,,https://api.discogs.com/releases/11884661,1900-1977,12000000,0,"Yorgo Bacanos"
Accepted,"Box, Comp + CD, Comp, RE + CD, Comp, RE + CD, Comp","CD 530",,https://api.discogs.com/releases/12148854,"Türk Filmlerinin Unutulmaz Müzikleri",12000000,0,Various
Accepted,"CD, Album",none,,https://api.discogs.com/releases/12605009,"Türküleri Egenin",13000000,1993,"Tolga Çandar"
Accepted,"Cass, Comp",46,,https://api.discogs.com/releases/2294898,"Rebetika 2",2294898,1994,Various
Accepted,Cass,67,,https://api.discogs.com/releases/2268571,"Tanburi Cemil Bey",2268571,1995,"Tanburi Cemil Bey"
Accepted,"CD, Album",CD025,,https://api.discogs.com/releases/2969405,"Udi Hrant",2969405,1995,"Udi Hrant Kenkulian"
Accepted,"CD, Comp, RE","CD 023",,https://api.discogs.com/releases/11827373,"Istanbul 1925",12000000,1995,Various
Accepted,CD,"CD 031",,https://api.discogs.com/releases/12543799,"Aynalıkavak'tan Kalamış'a...",13000000,1995,"Münip Utandı"
Accepted,"CD, Comp","CD 050",,https://api.discogs.com/releases/5467543,Tangolar,5467543,1996,"Seyyan Hanım"
Accepted,Cass,93,,https://api.discogs.com/releases/2162894,"Gaziantep Türküleri",2162894,1997,Various
Accepted,Cass,102,,https://api.discogs.com/releases/2162954,"Türküleri Egenin 2: Bodrum Hakimi",2162954,1997,"Tolga Çandar"
Accepted,Cass,79,,https://api.discogs.com/releases/2203559,"Asya İçlerinden Balkanlara Saz",2203559,1997,Various
Accepted,CD,77,,https://api.discogs.com/releases/11718830,"Asya İçlerinden Balkanlara Saz",12000000,1997,Various
Accepted,CD,56,,https://api.discogs.com/releases/12582112,"Kütahya'nın Pınarları",13000000,1997,"Hisarlı Ahmet"
Accepted,"CD, Album","CD 067",,https://api.discogs.com/releases/14418200,Gazeller,14000000,1997,Various
Accepted,"CD, Album","CD 105",,https://api.discogs.com/releases/8910625,"Gurbeti Benmi Yarattım",8910625,1998,"Arif Sağ"
Accepted,"CD, Comp","CD 110",,https://api.discogs.com/releases/12002722,"Unutulmaz Klarnet Üstadından Taksimler Ve Oyun Havaları = The Unforgettable Clarinetist Of Turkey: Instrumental Improvisations And Traditional Dance Pieces",12000000,1998,"Şükrü Tunar"
Accepted,CD,CD091,,https://api.discogs.com/releases/14926343,"Hasret Bağı",15000000,1998,"Sirin Pancaroglu"
Accepted,"CD, Album","CD 137",,https://api.discogs.com/releases/2562080,"Zülüf Dökülmüş Yüze",2562080,1999,"Neşet Ertaş"
Accepted,"CD, Album","CD 135",,https://api.discogs.com/releases/8361717,Hiç,8361717,1999,"Erkan Oğur - Okan Murat Öztürk"
Accepted,"2xCD, DIG","cd 130 131",,https://api.discogs.com/releases/10927277,"Sultan Bestekarlar Turkish classical music composed by Ottoman Sultans",11000000,1999,Various
Accepted,"CD, Comp, Smplr",none,,https://api.discogs.com/releases/2956248,"Remains Of Anatolia",2956248,2000,Various
Accepted,"CD, Comp","CD 172",,https://api.discogs.com/releases/4049399,"Sufi Müzik'ten Flamenko'ya - From Sufi Music To Flamenco",4049399,2000,Various
Accepted,"CD, Album, RE","CD 162",,https://api.discogs.com/releases/7383030,Yansımalar,7383030,2000,Yansımalar
Accepted,"CD, Album, RE","CD 163",,https://api.discogs.com/releases/8382703,"Bâb-ı Esrar",8382703,2000,Yansımalar
Accepted,"10xFile, MP3, Album",none,,https://api.discogs.com/releases/4033598,Fuad,4033598,2001,"Erkan Oğur & Djivan Gasparyan"
Accepted,CD,226,,https://api.discogs.com/releases/5129752,"Ayde Mori",5129752,2001,"Muammer Ketencoğlu, Brenna MacCrimmon, Sumru Ağıryürüyen, Cevdet Erek"
Accepted,"CD, Album",216,,https://api.discogs.com/releases/6833859,"A Tale Of Bass",6833859,2001,"Kâmil Erdem"
Accepted,"CD, dig","cd 234",,https://api.discogs.com/releases/10934040,"Judeo - Sufi Connection",11000000,2001,Maftirim
Accepted,CD,208,,https://api.discogs.com/releases/12546987,"Sel Gider... Kum Kalır...",13000000,2001,"Bengi Bağlama Üçlüsü"
Accepted,CD,261,,https://api.discogs.com/releases/12549639,"14 - Yar Gönlünü Bilenlere",13000000,2002,"Neşet Ertaş"
Accepted,"CD, Album","CD 273",,https://api.discogs.com/releases/8446915,"Arşiv Serisi 2",8446915,2003,"Necdet Yaşar"
Accepted,"CD, Comp","CD 267",,https://api.discogs.com/releases/9342208,"Asker Türküleri = Soldier Songs",9342208,2003,Various
Accepted,"CD, Comp","CD 266",,https://api.discogs.com/releases/9347469,"Mahpushane Türküleri = Prison Songs",9347469,2003,Various
Accepted,"14xFile, AAC, iTu",337,,https://api.discogs.com/releases/2306090,Hasbıhâl,2306090,2004,"Dertli Divani"
Accepted,"CD, Album","CD 316",,https://api.discogs.com/releases/5268752,Türlü,5268752,2004,"Akın Eldes"
Accepted,CD,"CD 330",,https://api.discogs.com/releases/10399974,"Anadoludan Türküler Manzaralar",10000000,2004,"Cemal Reşit Rey"
Accepted,CD,308,,https://api.discogs.com/releases/12548263,"Üç - İstanbul'a Dair / Three - About Istanbul",13000000,2004,İncesaz
Accepted,2xCD,"317 318",,https://api.discogs.com/releases/14422381,"Eyhok - Hakkari Geleneksel Müziği",14000000,2004,Various
Accepted,"CD, Album","CD 359",,https://api.discogs.com/releases/9167866,"4 - Mazi Kalbimde",9167866,2005,"İncesaz İle Dilek Türkan"
Accepted,"CD, Album, RE, RM, Dig","SN - 0011 / 02",,https://api.discogs.com/releases/17654770,"Deli Kızın Türküsü",18000000,2005,"Sezen Aksu"
Accepted,"2xCD, Album",363-364,,https://api.discogs.com/releases/1715878,Telvin,1715878,2006,Telvin
Accepted,"CD, Album, RE, RP",CD-006,,https://api.discogs.com/releases/8259516,"Yana Yana",8259516,2006,"Fikret Kızılok"
Accepted,"CD, Album","CD 385",,https://api.discogs.com/releases/9599419,"Minstrel's Era",9599419,2006,"Derya Türkan"
Accepted,"CD, Album",none,,https://api.discogs.com/releases/10285332,"Bir Nefes Hayat",10000000,2006,"Cengiz Onural"
Accepted,CD,"CD 190",,https://api.discogs.com/releases/14422361,"Rumeli Bektaşileri",14000000,2006,Various
Accepted,"CD, Comp","CD 400",,https://api.discogs.com/releases/5461469,Tangolar,5461469,2007,"İbrahim Özgür"
Accepted,"CD, Comp","CD 387",,https://api.discogs.com/releases/5471038,"Sound Of Love",5471038,2007,"Tülây German"
Accepted,"CD, Album, Comp","CD 001",,https://api.discogs.com/releases/6823727,"Balkan Yolculugu / The Balkan Journey",6823727,2007,"Muammer Ketencoğlu"
Accepted,"CD, Album","CD 392",,https://api.discogs.com/releases/8180737,"Mizrabin Nefesi - Neyler & Tanburlar",8180737,2007,"Grup Yansimalar*"
Accepted,"CD, Album, Comp, RM",none,,https://api.discogs.com/releases/8986473,"Tatyan Havaları",8986473,2007,Various
Accepted,CD,"CD 422",,https://api.discogs.com/releases/10631917,Elif,11000000,2007,"Incezas 5*"
Accepted,"CD, Album","CD 140",,https://api.discogs.com/releases/12134532,Zahidem,12000000,2007,"Neşet Ertaş"
Accepted,"CD, Album",CD419,,https://api.discogs.com/releases/2844532,"Swing A La Turc",2844532,2008,"Önder Focan Group"
Accepted,"CD, Album","CD 436",,https://api.discogs.com/releases/8160087,"Sufi'den Flamenko'ya 2",8160087,2008,"Yeni Ufuklar"
Accepted,CD,"CD 447",,https://api.discogs.com/releases/10632150,"Cello Invocations",11000000,2008,"Uğur Işık"
Accepted,"CD, Comp, Car",none,,https://api.discogs.com/releases/5821045,"Kantolar (1905-1945)",5821045,2009,Various
Accepted,Cass,111,,https://api.discogs.com/releases/10123718,"Kantolar (1905-1945)",10000000,2009,Various
Accepted,"2xCD, Album",none,,https://api.discogs.com/releases/10283751,Aşk,10000000,2009,"Akagündüz Kutbay"
Accepted,"CD, Comp, Promo",none,,https://api.discogs.com/releases/11719362,"Turkish Music In Berlin",12000000,2010,Various
Accepted,"CD, Album, RE",538,,https://api.discogs.com/releases/9414125,"Seni Düşünmek",9414125,2011,"Ezginin Günlüğü"
Accepted,"CD, Album",KM-1110,,https://api.discogs.com/releases/13642023,Elişi,14000000,2011,"Sirin Pancaroglu & Meriç Dönük & Jarrod Cagwin"
Accepted,"CD, Album","CD 617",,https://api.discogs.com/releases/4879869,Mektup,4879869,2013,"Yansımalar, Aziz Şenol Filiz | Birol Yayla"
Accepted,"CD, Album",none,,https://api.discogs.com/releases/7979103,"Bağlama Orkestrası",7979103,2013,"Erdal Erzincan"
Accepted,"10xCD, Comp + LP, Comp",Kalan700,,https://api.discogs.com/releases/8445918,"Collection (Külliyat)",8445918,2016,"Tanburi Cemil Bey"
Accepted,"CD, Album",726,,https://api.discogs.com/releases/10174238,"Bilinmeyenle Karşılaşmak",10000000,2017,"Erkan Oğur, İsmail Hakkı Demircioğlu"
Accepted,"LP, Album","LP 007",,https://api.discogs.com/releases/10361739,Cihan,10000000,2017,"Birsen Tezer"
Accepted,"CD, Album",746,,https://api.discogs.com/releases/12140665,"Letter From istanbul Vol.II",12000000,2018,"Derya Türkan, Σωκράτης Σινόπουλος"
Accepted,"LP, Comp",none,,https://api.discogs.com/releases/16057132,"Türk Filmlerinin Unutulmaz Müzikleri - Artık Sevmeyeceğim",16000000,2020,Various
